#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_5_bq58gy.slha	205.107694	209.110604	207.34772	1240.54759	2632.94446	2633.10938	-1	-1	-1	-1	-1	-1	-1	1211.70932	2470.32717	202.380252	7.4340066	[]	00:00:03
ew_nys_64ms.slha	494.414801	778.304341	778.465413	1673.89472	1676.90269	1677.54177	0.2315303	0.3229862	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.2110006	CMS-SUS-21-002	0.2669085	CMS-SUS-21-002	476.720133	697.846199	1636.88276	28.4899789	-1	00:55:23
ew_ymjl_mo1.slha	412.091162	416.401991	413.964792	1878.98024	2775.62956	1879.15345	-1	-1	-1	-1	-1	-1	-1	2722.89562	1744.84653	401.933988	9.39253045	[]	00:00:04
ew_36s8zp3y.slha	309.094184	313.681155	311.458511	1364.18097	2149.37164	2149.53477	-1	-1	-1	-1	-1	-1	-1	1327.39956	1999.31151	303.420034	6.88733043	[]	00:00:00
ew_clh01mx8.slha	143.599345	200.822861	200.947157	739.734103	743.675744	745.415425	0.8402904	0.8909386	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	0.7614837	ATLAS-SUSY-2018-05-ewk	0.7627107	ATLAS-SUSY-2018-05-ewk	130.977983	160.035563	714.042278	26.9972845	-1	00:49:14
ew_bzfj5mqj.slha	398.327562	404.226378	401.212596	1364.77972	1541.18586	1541.32048	-1	-1	-1	-1	-1	-1	-1	1318.18812	1409.61683	387.850159	40.9564942	[]	00:00:00
ew_feigofbe.slha	466.898234	469.981316	468.634048	2318.81953	2863.40642	2863.56906	-1	-1	-1	-1	-1	-1	-1	2273.45697	2696.36433	452.38081	26.3358121	[]	00:00:00
ew_5w288baf.slha	181.91814	190.278635	185.35833	876.41215	2294.90315	876.62531	0.9937251	1.046011	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.154675	ATLAS-SUSY-2018-41	0.8040689	ATLAS-SUSY-2018-41	2241.7086	784.577621	179.661238	25.988606	-1	00:36:00
ew_w4lz9w88.slha	477.792767	480.98279	479.53467	2605.37108	2681.46239	2605.5629	-1	-1	-1	-1	-1	-1	-1	2628.19208	2444.85048	463.164161	49.0261464	[]	00:00:00
ew_64670m4c.slha	257.902986	291.904862	263.726844	406.932916	638.174524	409.181618	0.01102512	0.01233978	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.01043464	CMS-SUS-21-002	0.007674537	CMS-SUS-21-002	598.563341	314.90846	275.960624	48.2845432	-1	00:52:12
