X: nr=41; t='T2bbffff'; mgl=1000000.0; mstop=266.5; mlsp=196.3; id0='SR1HcY'; r0=1.25; n0=15; id1='SR1McY'; r1=1.22; n1=14; id2='SR1HcX'; r2=1.16; n2=11; id3='SR1McX'; r3=1.05; n3=10; id4='SR2McY'; r4=0.69; n4=38; id5='SR1LcY'; r5=0.68; n5=12; id6='SR1LcX'; r6=0.67; n6=9; id7='SR2HcX'; r7=0.62; n7=36; id8='SR2HcY'; r8=0.54; n8=39; id9='SR2McX'; r9=0.47; n9=34.
X: nr=42; t='T2bbffff'; mgl=1000000.0; mstop=763.1; mlsp=685.3; id0='SR1HcY'; r0=0.07; n0=15; id1='SR1McY'; r1=0.05; n1=14; id2='SR1HcX'; r2=0.02; n2=11; id3='SR2HcY'; r3=0.02; n3=39; id4='SR1LcY'; r4=0.02; n4=12; id5='SR2McY'; r5=0.02; n5=38; id6='SR1McX'; r6=0.02; n6=10; id7='SR2LcY'; r7=0.01; n7=37; id8='SR2HcX'; r8=0.01; n8=36; id9='SR2McX'; r9=0.01; n9=34.
X: nr=43; t='T2bbffff'; mgl=1000000.0; mstop=460.2; mlsp=411.4; id0='SR1McY'; r0=0.60; n0=14; id1='SR1HcY'; r1=0.42; n1=15; id2='SR1LcY'; r2=0.38; n2=12; id3='SR1McX'; r3=0.26; n3=10; id4='SR1LcX'; r4=0.25; n4=9; id5='SR2McY'; r5=0.23; n5=38; id6='SR1HcX'; r6=0.21; n6=11; id7='SR2HcY'; r7=0.17; n7=39; id8='SR2LcY'; r8=0.15; n8=37; id9='SR1LbY'; r9=0.14; n9=6.
X: nr=44; t='T2bbffff'; mgl=1000000.0; mstop=303.4; mlsp=233.6; id0='SR1McY'; r0=1.05; n0=14; id1='SR1HcX'; r1=0.98; n1=11; id2='SR1HcY'; r2=0.96; n2=15; id3='SR1McX'; r3=0.83; n3=10; id4='SR2McY'; r4=0.59; n4=38; id5='SR1LcX'; r5=0.56; n5=9; id6='SR1LcY'; r6=0.52; n6=12; id7='SR2HcY'; r7=0.47; n7=39; id8='SR2HcX'; r8=0.46; n8=36; id9='SR2McX'; r9=0.37; n9=34.
X: nr=45; t='T2bbffff'; mgl=1000000.0; mstop=630.6; mlsp=602.8; id0='SR1LcY'; r0=0.12; n0=12; id1='SR1McY'; r1=0.10; n1=14; id2='SR1LbY'; r2=0.07; n2=6; id3='SR1VLaY'; r3=0.07; n3=35; id4='SR1LaY'; r4=0.07; n4=40; id5='SR1LcX'; r5=0.05; n5=9; id6='SR1HcY'; r6=0.05; n6=15; id7='SR1McX'; r7=0.03; n7=10; id8='SR1LaX'; r8=0.03; n8=2; id9='SR1VLbY'; r9=0.03; n9=5.
X: nr=46; t='T2bbffff'; mgl=1000000.0; mstop=797.3; mlsp=732.4; id0='SR1McY'; r0=0.05; n0=14; id1='SR1HcY'; r1=0.05; n1=15; id2='SR1LcY'; r2=0.03; n2=12; id3='SR2HcY'; r3=0.02; n3=39; id4='SR1HcX'; r4=0.02; n4=11; id5='SR2McY'; r5=0.01; n5=38; id6='SR1McX'; r6=0.01; n6=10; id7='SR2LcY'; r7=0.01; n7=37; id8='SR1LcX'; r8=0.01; n8=9; id9='SR1LbY'; r9=0.01; n9=6.
X: nr=47; t='T2bbffff'; mgl=1000000.0; mstop=732.3; mlsp=677.1; id0='SR1McY'; r0=0.09; n0=14; id1='SR1HcY'; r1=0.07; n1=15; id2='SR1LcY'; r2=0.06; n2=12; id3='SR2McY'; r3=0.04; n3=38; id4='SR1McX'; r4=0.03; n4=10; id5='SR1HcX'; r5=0.03; n5=11; id6='SR1LcX'; r6=0.02; n6=9; id7='SR2LcY'; r7=0.02; n7=37; id8='SR2HcY'; r8=0.02; n8=39; id9='SR1LaY'; r9=0.01; n9=40.
X: nr=48; t='T2bbffff'; mgl=1000000.0; mstop=743.7; mlsp=710.7; id0='SR1McY'; r0=0.08; n0=14; id1='SR1LcY'; r1=0.05; n1=12; id2='SR1HcY'; r2=0.04; n2=15; id3='SR1McX'; r3=0.02; n3=10; id4='SR1LcX'; r4=0.02; n4=9; id5='SR1LaY'; r5=0.02; n5=40; id6='SR1VLaY'; r6=0.02; n6=35; id7='SR2McY'; r7=0.02; n7=38; id8='SR1LbY'; r8=0.02; n8=6; id9='SR2LcY'; r9=0.01; n9=37.
X: nr=49; t='T2bbffff'; mgl=1000000.0; mstop=358.3; mlsp=289.9; id0='SR1McY'; r0=0.83; n0=14; id1='SR1HcY'; r1=0.78; n1=15; id2='SR1HcX'; r2=0.66; n2=11; id3='SR1McX'; r3=0.58; n3=10; id4='SR1LcY'; r4=0.43; n4=12; id5='SR2McY'; r5=0.39; n5=38; id6='SR1LcX'; r6=0.36; n6=9; id7='SR2HcY'; r7=0.36; n7=39; id8='SR2HcX'; r8=0.28; n8=36; id9='SR2McX'; r9=0.27; n9=34.
X: nr=50; t='T2bbffff'; mgl=1000000.0; mstop=793.3; mlsp=728.4; id0='SR1McY'; r0=0.05; n0=14; id1='SR1HcY'; r1=0.05; n1=15; id2='SR1LcY'; r2=0.03; n2=12; id3='SR2HcY'; r3=0.02; n3=39; id4='SR1HcX'; r4=0.02; n4=11; id5='SR2McY'; r5=0.02; n5=38; id6='SR1McX'; r6=0.01; n6=10; id7='SR1LcX'; r7=0.01; n7=9; id8='SR2LcY'; r8=0.01; n8=37; id9='SR1LbY'; r9=0.01; n9=6.
